Date;Year;Quarter;Month;MonthName;Week;DayName;YearMonth
2023-01-01 0:00:00;2023;Q1;1;January;52;Sunday;2023-01
2023-01-02 0:00:00;2023;Q1;1;January;1;Monday;2023-01
2023-01-03 0:00:00;2023;Q1;1;January;1;Tuesday;2023-01
2023-01-04 0:00:00;2023;Q1;1;January;1;Wednesday;2023-01
2023-01-05 0:00:00;2023;Q1;1;January;1;Thursday;2023-01
2023-01-06 0:00:00;2023;Q1;1;January;1;Friday;2023-01
2023-01-07 0:00:00;2023;Q1;1;January;1;Saturday;2023-01
2023-01-08 0:00:00;2023;Q1;1;January;1;Sunday;2023-01
2023-01-09 0:00:00;2023;Q1;1;January;2;Monday;2023-01
2023-01-10 0:00:00;2023;Q1;1;January;2;Tuesday;2023-01
2023-01-11 0:00:00;2023;Q1;1;January;2;Wednesday;2023-01
2023-01-12 0:00:00;2023;Q1;1;January;2;Thursday;2023-01
2023-01-13 0:00:00;2023;Q1;1;January;2;Friday;2023-01
2023-01-14 0:00:00;2023;Q1;1;January;2;Saturday;2023-01
2023-01-15 0:00:00;2023;Q1;1;January;2;Sunday;2023-01
2023-01-16 0:00:00;2023;Q1;1;January;3;Monday;2023-01
2023-01-17 0:00:00;2023;Q1;1;January;3;Tuesday;2023-01
2023-01-18 0:00:00;2023;Q1;1;January;3;Wednesday;2023-01
2023-01-19 0:00:00;2023;Q1;1;January;3;Thursday;2023-01
2023-01-20 0:00:00;2023;Q1;1;January;3;Friday;2023-01
2023-01-21 0:00:00;2023;Q1;1;January;3;Saturday;2023-01
2023-01-22 0:00:00;2023;Q1;1;January;3;Sunday;2023-01
2023-01-23 0:00:00;2023;Q1;1;January;4;Monday;2023-01
2023-01-24 0:00:00;2023;Q1;1;January;4;Tuesday;2023-01
2023-01-25 0:00:00;2023;Q1;1;January;4;Wednesday;2023-01
2023-01-26 0:00:00;2023;Q1;1;January;4;Thursday;2023-01
2023-01-27 0:00:00;2023;Q1;1;January;4;Friday;2023-01
2023-01-28 0:00:00;2023;Q1;1;January;4;Saturday;2023-01
2023-01-29 0:00:00;2023;Q1;1;January;4;Sunday;2023-01
2023-01-30 0:00:00;2023;Q1;1;January;5;Monday;2023-01
2023-01-31 0:00:00;2023;Q1;1;January;5;Tuesday;2023-01
2023-02-01 0:00:00;2023;Q1;2;February;5;Wednesday;2023-02
2023-02-02 0:00:00;2023;Q1;2;February;5;Thursday;2023-02
2023-02-03 0:00:00;2023;Q1;2;February;5;Friday;2023-02
2023-02-04 0:00:00;2023;Q1;2;February;5;Saturday;2023-02
2023-02-05 0:00:00;2023;Q1;2;February;5;Sunday;2023-02
2023-02-06 0:00:00;2023;Q1;2;February;6;Monday;2023-02
2023-02-07 0:00:00;2023;Q1;2;February;6;Tuesday;2023-02
2023-02-08 0:00:00;2023;Q1;2;February;6;Wednesday;2023-02
2023-02-09 0:00:00;2023;Q1;2;February;6;Thursday;2023-02
2023-02-10 0:00:00;2023;Q1;2;February;6;Friday;2023-02
2023-02-11 0:00:00;2023;Q1;2;February;6;Saturday;2023-02
2023-02-12 0:00:00;2023;Q1;2;February;6;Sunday;2023-02
2023-02-13 0:00:00;2023;Q1;2;February;7;Monday;2023-02
2023-02-14 0:00:00;2023;Q1;2;February;7;Tuesday;2023-02
2023-02-15 0:00:00;2023;Q1;2;February;7;Wednesday;2023-02
2023-02-16 0:00:00;2023;Q1;2;February;7;Thursday;2023-02
2023-02-17 0:00:00;2023;Q1;2;February;7;Friday;2023-02
2023-02-18 0:00:00;2023;Q1;2;February;7;Saturday;2023-02
2023-02-19 0:00:00;2023;Q1;2;February;7;Sunday;2023-02
2023-02-20 0:00:00;2023;Q1;2;February;8;Monday;2023-02
2023-02-21 0:00:00;2023;Q1;2;February;8;Tuesday;2023-02
2023-02-22 0:00:00;2023;Q1;2;February;8;Wednesday;2023-02
2023-02-23 0:00:00;2023;Q1;2;February;8;Thursday;2023-02
2023-02-24 0:00:00;2023;Q1;2;February;8;Friday;2023-02
2023-02-25 0:00:00;2023;Q1;2;February;8;Saturday;2023-02
2023-02-26 0:00:00;2023;Q1;2;February;8;Sunday;2023-02
2023-02-27 0:00:00;2023;Q1;2;February;9;Monday;2023-02
2023-02-28 0:00:00;2023;Q1;2;February;9;Tuesday;2023-02
2023-03-01 0:00:00;2023;Q1;3;March;9;Wednesday;2023-03
