ShipmentID;ClientID;ClientName;OriginCountry;OriginCity;OriginCode;DestCountry;DestCity;DestCode;TransportMode;Carrier;HS_Code;CustomsRegime;BookingDate;DepartureDate;ArrivalDate;ClearanceDate;TransitDays;ClearanceDays;OnTime;Direction;CargoValueEUR;DutyRatePct;DutyPayableEUR;DutySavedEUR;DutyPaidEUR
SHP0001;CLT002;Atlas Apparel Group;China;Shanghai;CN;Spain;Barcelona;ES;Sea;Hapag-Lloyd;6203.42;Standard Entry;2023-04-15;2023-04-25;2023-06-03;2023-06-04;39;1;TRUE;Import;149670,67;12;17960,48;0;17960,48
SHP0002;CLT001;Meridian Electronics Ltd;USA;New York;US;Netherlands;Rotterdam;NL;Sea;DB Schenker;8428.90;Standard Entry;2024-07-28;2024-08-07;2024-08-31;2024-09-04;24;4;FALSE;Export;59007,95;1,7;1003,14;0;1003,14
SHP0003;CLT001;Meridian Electronics Ltd;India;Mumbai;IN;Belgium;Antwerp;BE;Sea;Evergreen;6203.42;FTA Relief;2023-12-11;2023-12-14;2024-01-04;2024-01-08;21;4;FALSE;Export;28695,51;12;3443,46;3285,92;157,54
SHP0004;CLT001;Meridian Electronics Ltd;South Korea;Busan;KR;Portugal;Lisbon;PT;Sea;FedEx;8517.12;End Use Relief;2023-10-28;2023-11-04;2023-12-18;2023-12-23;44;5;FALSE;Import;52110,7;0;0;0;0
SHP0005;CLT005;Pinnacle Foods International;USA;New York;US;Netherlands;Rotterdam;NL;Rail;MSC;2917.36;IP Relief;2024-04-09;2024-04-16;2024-05-04;2024-05-06;18;2;TRUE;Export;95694,34;5,5;5263,19;3017,53;2245,66
SHP0006;CLT002;Atlas Apparel Group;Mexico;Mexico City;MX;France;Le Havre;FR;Air;Hapag-Lloyd;6203.42;Temporary Admission;2024-01-24;2024-02-03;2024-02-07;2024-02-09;4;2;TRUE;Import;172730,49;12;20727,66;20076,2;651,46
SHP0007;CLT004;Solaris Chemical Solutions;China;Shanghai;CN;Italy;Genoa;IT;Air;Evergreen;8517.12;FTA Relief;2024-08-03;2024-08-10;2024-08-17;2024-08-19;7;2;TRUE;Import;165582,47;0;0;0;0
SHP0008;CLT003;Crestwood Automotive Parts;Turkey;Istanbul;TR;France;Le Havre;FR;Sea;DB Schenker;0901.11;IP Relief;2024-08-21;2024-08-29;2024-09-29;2024-10-02;31;3;TRUE;Import;58733,59;0;0;0;0
SHP0009;CLT002;Atlas Apparel Group;China;Shanghai;CN;Germany;Hamburg;DE;Sea;CMA CGM;8542.31;Standard Entry;2024-03-08;2024-03-11;2024-04-17;2024-04-21;37;4;FALSE;Import;98496,73;0;0;0;0
SHP0010;CLT009;GreenLeaf Organics;Turkey;Istanbul;TR;Portugal;Lisbon;PT;Rail;Maersk;3004.90;Standard Entry;2023-04-28;2023-05-08;2023-05-26;2023-06-02;18;7;FALSE;Export;70372,17;0;0;0;0
SHP0011;CLT002;Atlas Apparel Group;Turkey;Istanbul;TR;Belgium;Antwerp;BE;Sea;UPS;8471.30;Standard Entry;2023-09-27;2023-10-01;2023-11-04;2023-11-09;34;5;FALSE;Export;228593,82;0;0;0;0
SHP0012;CLT009;GreenLeaf Organics;Mexico;Mexico City;MX;Netherlands;Rotterdam;NL;Sea;DHL Express;8542.31;FTA Relief;2024-07-06;2024-07-16;2024-08-27;2024-08-28;42;1;TRUE;Import;151741,42;0;0;0;0
SHP0013;CLT006;Vortex Machinery Co.;Turkey;Istanbul;TR;Netherlands;Rotterdam;NL;Sea;Hapag-Lloyd;8443.32;End Use Relief;2023-03-22;2023-03-31;2023-04-20;2023-04-27;20;7;FALSE;Import;21957,07;0;0;0;0
SHP0014;CLT003;Crestwood Automotive Parts;South Korea;Busan;KR;Portugal;Lisbon;PT;Sea;Evergreen;0901.11;End Use Relief;2024-03-09;2024-03-19;2024-04-12;2024-04-19;24;7;FALSE;Export;183833,11;0;0;0;0
SHP0015;CLT007;BlueSky Pharmaceuticals;Bangladesh;Dhaka;BD;Poland;Gdansk;PL;Air;UPS;8517.12;FTA Relief;2023-08-19;2023-08-26;2023-08-28;2023-08-29;2;1;TRUE;Import;149135,64;0;0;0;0
SHP0016;CLT001;Meridian Electronics Ltd;USA;New York;US;United Kingdom;Felixstowe;GB;Sea;MSC;8443.32;Standard Entry;2023-12-05;2023-12-15;2024-01-04;2024-01-06;20;2;TRUE;Import;73226,93;0;0;0;0
SHP0017;CLT004;Solaris Chemical Solutions;Thailand;Bangkok;TH;France;Le Havre;FR;Road;Kuehne+Nagel;8428.90;Temporary Admission;2023-09-06;2023-09-14;2023-09-24;2023-09-26;10;2;TRUE;Export;28109,82;1,7;477,87;445,28;32,59
SHP0018;CLT007;BlueSky Pharmaceuticals;Japan;Tokyo;JP;Poland;Gdansk;PL;Rail;Maersk;3004.90;Standard Entry;2024-10-23;2024-10-25;2024-11-03;2024-11-07;9;4;FALSE;Import;183412,33;0;0;0;0
SHP0019;CLT004;Solaris Chemical Solutions;Vietnam;Ho Chi Minh City;VN;Netherlands;Rotterdam;NL;Air;UPS;6203.42;Temporary Admission;2023-07-07;2023-07-16;2023-07-20;2023-07-22;4;2;TRUE;Import;219249,06;12;26309,89;21444,59;4865,3
SHP0020;CLT001;Meridian Electronics Ltd;Thailand;Bangkok;TH;United Kingdom;Felixstowe;GB;Sea;Hapag-Lloyd;6203.42;Temporary Admission;2024-05-12;2024-05-17;2024-06-19;2024-06-26;33;7;FALSE;Import;103254,87;12;12390,58;10057,77;2332,81
SHP0021;CLT001;Meridian Electronics Ltd;Japan;Tokyo;JP;Spain;Barcelona;ES;Rail;UPS;8708.29;Temporary Admission;2024-12-14;2024-12-24;2025-01-12;2025-01-18;19;6;FALSE;Export;181010,03;4,5;8145,45;6768,54;1376,91
SHP0022;CLT004;Solaris Chemical Solutions;China;Shanghai;CN;Sweden;Gothenburg;SE;Road;DB Schenker;8471.30;Standard Entry;2023-11-18;2023-11-20;2023-11-23;2023-11-28;3;5;FALSE;Import;121813,19;0;0;0;0
SHP0023;CLT001;Meridian Electronics Ltd;Thailand;Bangkok;TH;Germany;Hamburg;DE;Rail;CMA CGM;8517.12;End Use Relief;2023-03-11;2023-03-16;2023-04-03;2023-04-07;18;4;FALSE;Import;34372,22;0;0;0;0
SHP0024;CLT010;Quantum Tech Imports;Mexico;Mexico City;MX;United Kingdom;Felixstowe;GB;Air;MSC;2917.36;Standard Entry;2024-08-20;2024-08-30;2024-09-05;2024-09-08;6;3;TRUE;Import;234003,03;5,5;12870,17;0;12870,17
SHP0025;CLT006;Vortex Machinery Co.;Vietnam;Ho Chi Minh City;VN;Spain;Barcelona;ES;Air;CMA CGM;3004.90;Standard Entry;2023-11-04;2023-11-11;2023-11-16;2023-11-23;5;7;FALSE;Import;234254,9;0;0;0;0
SHP0026;CLT008;Ironclad Steel Works;Mexico;Mexico City;MX;Sweden;Gothenburg;SE;Sea;MSC;0901.11;FTA Relief;2024-06-02;2024-06-06;2024-07-02;2024-07-05;26;3;TRUE;Export;220811,72;0;0;0;0
SHP0027;CLT005;Pinnacle Foods International;India;Mumbai;IN;Poland;Gdansk;PL;Rail;DB Schenker;7208.51;IP Relief;2024-09-18;2024-09-28;2024-10-18;2024-10-19;20;1;TRUE;Import;168626,48;0;0;0;0
